,material,critical_temp
421,Ga0.8Cd0.2Sr2Y0.7Ca0.3Cu2O7,41.5
422,Ga0.8Sr2Y0.6Ca0.4Cu2.2O7,42.0
423,Ga0.95Cd0.05Sr2Y0.7Ca0.3Cu2O7,27.5
424,Ga0.9Cd0.1Sr2Y0.7Ca0.3Cu2O7,32.5
425,Ga0.9Sr2Y0.6Ca0.4Cu2.1O7,41.0
426,Ga1Sr2Tm0.65Ca0.35Cu2O7,47.0
427,Ga1Sr2Tm0.6Ca0.4Cu2O7,51.0
428,Ga1Sr2Tm0.75Ca0.25Cu2O7,28.0
429,Ga1Sr2Tm0.7Ca0.3Cu2O7,40.0
430,Ga1Sr2Y0.5Ca0.5Cu2O7,35.0
431,Ga1Sr2Y0.6Ca0.4Cu2O7,38.0
432,Ga1Sr2Y0.7Ca0.3Cu2O7,30.0
433,Ga1Sr2Y0.8Ca0.2Cu2O7,35.0
434,Gd0.2Pr0.3Ca0.5Ba2Cu3O7,96.0
435,Gd0.45Ca0.4Hf0.15Ba2Cu3O7.08,71.9
436,Gd0.45Ca0.4Mo0.15Ba2Cu3O6.537,73.0
437,Gd0.55Ca0.35Hf0.15Ba2Cu3O7.06,76.0
438,Gd0.55Ca0.3Mo0.15Ba2Cu3O6.626,80.7
439,Gd0.5Ca0.35Mo0.15Ba2Cu3O6.586,77.7
440,Gd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,78.0
441,Gd0.65Ca0.2Hf0.15Ba2Cu3O6.96,86.3
442,Gd0.65Ca0.2Mo0.15Ba2Cu3O6.818,84.1
443,Gd0.65Pr0.15Ca0.2Ba2Cu3O7,66.6
444,Gd0.65Pr0.1Ca0.25Ba2Cu3O7,60.2
445,Gd0.65Pr0.35Ba2Cu3O7,22.95
446,Gd0.6Ca0.25Hf0.15Ba2Cu3O7,81.3
447,Gd0.6Ca0.25Mo0.15Ba2Cu3O6.761,83.7
448,Gd0.6Pr0.15Ca0.25Ba2Cu3O7,61.5
449,Gd0.6Pr0.4Ba2Cu3O6.95,11.2
450,Gd0.6Pr0.4Ba2Cu3O7,18.45
451,Gd0.75Ca0.1Hf0.15Ba2Cu3O6.89,82.7
452,Gd0.75Ca0.1Mo0.15Ba2Cu3O6.671,75.1
453,Gd0.75Pr0.15Ca0.1Ba2Cu3O7,71.5
454,Gd0.75Pr0.1Ca0.15Ba2Cu3O7,74.2
455,Gd0.75Pr0.25Ba2Cu3O7,51.0
456,Gd0.7Ca0.15Hf0.15Ba2Cu3O6.93,83.8
457,Gd0.7Ca0.15Mo0.15Ba2Cu3O6.716,86.3
458,Gd0.7Pr0.15Ca0.15Ba2Cu3O7,72.4
459,Gd0.7Pr0.1Ca0.2Ba2Cu3O7,69.0
460,Gd0.7Pr0.2Ca0.1Ba2Cu3O7,64.4
461,Gd0.7Pr0.3Ba2Cu3O6.95,30.6
462,Gd0.7Pr0.3Ba2Cu3O7,39.26666666666667
463,Gd0.85Ca0.15Ba2Cu3O7,79.5
464,Gd0.85Hf0.15Ba2Cu3O6.84,81.8
465,Gd0.85Mo0.15Ba2Cu3O6.855,59.2
466,Gd0.85Pr0.15Ba2Cu3O7,61.96666666666667
467,Gd0.85Pr0.1Ca0.05Ba2Cu3O7,70.6
468,Gd0.8Ba1.8Cu3O7,48.55
469,Gd0.8Ca0.05Hf0.15Ba2Cu3O6.86,80.6
470,Gd0.8Ca0.05Mo0.15Ba2Cu3O6.651,66.1
471,Gd0.8Ca0.2Ba2Cu3O7,68.8
472,Gd0.8Hf0.2Ba2Cu3O6.79,79.5
473,Gd0.8Mo0.2Ba2Cu3O6.807,52.5
474,Gd0.8Pr0.15Ca0.05Ba2Cu3O7,64.3
475,Gd0.8Pr0.1Ca0.1Ba2Cu3O7,77.4
476,Gd0.8Pr0.2Ba2Cu3O6.95,53.1
477,Gd0.8Pr0.2Ba2Cu3O7,60.666666666666664
478,Gd0.922Pr0.078Ba2Cu3O7,84.0
479,Gd0.93Ca0.07Ba1Sr1Cu3O6.8804,53.5
480,Gd0.95Ca0.05Ba2Cu3O7,81.9
481,Gd0.95Hf0.05Ba2Cu3O6.91,86.9
482,Gd0.95Mo0.05Ba2Cu3O6.948,82.4
483,Gd0.95Pr0.05Ba2Cu2.94Fe0.06O7,54.5
484,Gd0.95Pr0.05Ba2Cu2.94Mn0.06O7,68.0
485,Gd0.95Pr0.05Ba2Cu2.94Ni0.06O7,64.0
486,Gd0.95Pr0.05Ba2Cu2.94Zn0.06O7,46.2
487,Gd0.95Pr0.05Ba2Cu3O7,87.25
488,Gd0.96Ca0.04Ba1Sr1Cu3O6.9138,71.0
489,Gd0.97Pr0.03Ba2Cu3O7,93.1
490,Gd0.98Ca0.02Ba2Cu3O7,85.4
491,Gd0.99Ca0.01Ba1Sr1Cu3O6.9198,70.5
492,Gd0.9Ca0.1Ba1Sr1Cu3O6.8754,43.0
493,Gd0.9Ca0.1Ba2Cu3O7,84.15
494,Gd0.9Hf0.1Ba2Cu3O6.88,84.2
495,Gd0.9Mo0.1Ba2Cu3O6.907,65.9
496,Gd0.9Pr0.1Ba2Cu3O6.95,74.3
497,Gd0.9Pr0.1Ba2Cu3O7,72.2
498,Gd1.05Ba1.95Cu3O6.94,85.0
499,Gd1.15Ba1.85Cu3O6.99,48.0
500,Gd1.1Ba1.9Cu3O7,86.8
501,Gd1.25Ba1.75Cu3O6.98,28.0
502,Gd1.2Ba1.8Cu3O7.03,42.0
503,Gd1Ba1.5Sr0.5Cu3O6.63,17.0
504,Gd1Ba1.5Sr0.5Cu3O6.72,32.0
505,Gd1Ba1.5Sr0.5Cu3O6.73,50.0
506,Gd1Ba1.5Sr0.5Cu3O6.93,85.5
507,Gd1Ba1.5Sr0.5Cu3O7,85.6
508,Gd1Ba1.65Pr0.35Cu3O6.97,10.0
509,Gd1Ba1.75Pr0.25Cu3O7.06,39.2
510,Gd1Ba1.7Pr0.3Cu3O7.06,22.9
511,Gd1Ba1.85Pr0.15Cu3O7.09,55.8
512,Gd1Ba1.8Pr0.2Cu3O7.01,44.5
513,Gd1Ba1.95Pr0.05Cu3O7.03,86.8
514,Gd1Ba1.9Pr0.1Cu3O7.03,63.3
515,Gd1Ba1Sr1Cu3O6.77,4.0
516,Gd1Ba1Sr1Cu3O6.93,83.0
517,Gd1Ba1Sr1Cu3O6.9371,76.5
518,Gd1Ba1Sr1Cu3O6.94,86.0
519,Gd1Ba1Sr1Cu3O7,83.5
520,Gd1Ba2Cu2.64Fe0.36O6.99,21.0
521,Gd1Ba2Cu2.64Fe0.36O7,18.6
522,Gd1Ba2Cu2.67Fe0.33O7,11.8
523,Gd1Ba2Cu2.73Fe0.27O6.98,40.0
524,Gd1Ba2Cu2.73Fe0.27O7,36.4
525,Gd1Ba2Cu2.76Fe0.24O7,40.6
526,Gd1Ba2Cu2.775Fe0.225O7,33.0
527,Gd1Ba2Cu2.7Co0.3O6.9,33.0
528,Gd1Ba2Cu2.7Co0.3O7,13.0
529,Gd1Ba2Cu2.7Fe0.3O6.9,41.0
530,Gd1Ba2Cu2.7Fe0.3O7,14.299999999999999
531,Gd1Ba2Cu2.7Ga0.3O7,21.0
532,Gd1Ba2Cu2.7Ni0.3O7,32.3
533,Gd1Ba2Cu2.82Fe0.18O6.91,41.0
534,Gd1Ba2Cu2.82Fe0.18O7,55.2
535,Gd1Ba2Cu2.85Fe0.15O7,55.05
536,Gd1Ba2Cu2.85Zn0.15O7,42.4
537,Gd1Ba2Cu2.8Co0.2O7,49.0
538,Gd1Ba2Cu2.8Fe0.2O7,49.0
539,Gd1Ba2Cu2.8Ni0.2O7,55.1
540,Gd1Ba2Cu2.91Fe0.09O6.94,75.0
541,Gd1Ba2Cu2.925Fe0.075O7,72.65
542,Gd1Ba2Cu2.92Zn0.08O7,55.9
543,Gd1Ba2Cu2.94Fe0.06O7,85.0
544,Gd1Ba2Cu2.94Zn0.06O7,65.9
545,Gd1Ba2Cu2.96Zn0.04O7,72.7
546,Gd1Ba2Cu2.97Fe0.03O7,88.2
547,Gd1Ba2Cu2.98Zn0.02O7,86.15
548,Gd1Ba2Cu2.99Zn0.01O7,89.8
549,Gd1Ba2Cu2.9Co0.1O7,76.0
550,Gd1Ba2Cu2.9Fe0.1O7,75.0
551,Gd1Ba2Cu2.9Ga0.1O7,62.0
552,Gd1Ba2Cu2.9Ni0.1O7,77.7
553,Gd1Ba2Cu2.9Zn0.1O7,49.2
554,Gd1Ba2Cu3H0.12O6.89,84.0
555,Gd1Ba2Cu3H0.43O6.89,82.0
556,Gd1Ba2Cu3O6.758,92.0
557,Gd1Ba2Cu3O6.8,81.0
558,Gd1Ba2Cu3O6.89,92.9
559,Gd1Ba2Cu3O6.9,92.0
560,Gd1Ba2Cu3O6.94,90.8
561,Gd1Ba2Cu3O6.95,90.0
562,Gd1Ba2Cu3O6.969,91.0
563,Gd1Ba2Cu3O6.98,94.2
564,Gd1Ba2Cu3O6.99,92.45
565,Gd1Ba2Cu3O7,89.762
566,Gd1Ba2Cu3O7.08,93.8
567,Gd1Ba2Cu3S1O6,92.0
568,Gd1Sr2Cu2.7Mo0.3O7,25.7
569,Hg0.4Ce0.6Sr2.5Ca0.1Nd0.5Cu2.1O7,60.0
570,Hg0.4Ce0.6Sr2.5Ca0.2Nd0.2Cu2.1O7,65.0
571,Hg0.4Ce0.6Sr2.5Ca0.4Cu2.1O7,51.0
572,Hg0.4Pr1.1Sr2Ca0.5Cu2O6.9,60.0
573,Hg0.5Fe0.5Sr2Y0.2Ca0.8Cu2O6.63,63.5
574,Hg0.5Fe0.5Sr2Y0.3Ca0.7Cu2O6.65,72.5
575,Hg0.5Fe0.5Sr2Y0.4Ca0.6Cu2O6.67,77.5
576,Hg0.5Fe0.5Sr2Y0.5Ca0.5Cu2O6.68,66.5
577,Hg0.5Fe0.5Sr2Y0.6Ca0.4Cu2O6.7,46.0
578,Hg0.5Fe0.5Sr2Y0.7Ca0.3Cu2O6.7,24.0
579,Hg0.5Fe0.5Sr2Y0.8Ca0.2Cu2O6.72,30.0
580,Hg0.65V0.35Sr2Ca0.55Nd0.45Cu2O6.8,67.0
581,Hg1Ba2Ca1Cu2FO6,128.0
582,Ho0.43Pr0.57Ba2Cu3O7,9.51
583,Ho0.45Pr0.55Ba2Cu3O7,20.7
584,Ho0.48Pr0.52Ba2Cu3O7,25.8
585,Ho0.55Pr0.45Ba2Cu3O7,39.8
586,Ho0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,79.0
587,Ho0.5Pr0.5Ba2Cu3O6.67,24.3
588,Ho0.5Pr0.5Ba2Cu3O7,28.3
589,Ho0.65Pr0.35Ba2Cu3O7,53.4
590,Ho0.6Pr0.4Ba2Cu3O7,44.0
591,Ho0.75Pr0.25Ba2Cu3O7,67.5
592,Ho0.7Pr0.3Ba2Cu3O7,60.0
593,Ho0.85Pr0.15Ba2Cu3O7,81.2
594,Ho0.8Pr0.2Ba2Cu3O7,76.39999999999999
595,Ho0.95Pr0.05Ba2Cu3O7,60.5
596,Ho0.9Ca0.1Ba2Cu3O7,89.0
597,Ho0.9Pr0.1Ba2Cu3O7,86.7
598,Ho1Ba1.5Sr0.5Cu3O7,86.8
599,Ho1Ba1Sr1Cu3O6.94,79.0
600,Ho1Ba2Cu2.55Ni0.45O7,75.0
601,Ho1Ba2Cu2.775Fe0.225O7,64.0
602,Ho1Ba2Cu2.775Ni0.225O7,84.0
603,Ho1Ba2Cu2.7Fe0.3O7,41.0
604,Ho1Ba2Cu2.7Ni0.3O7,78.0
605,Ho1Ba2Cu2.85Fe0.15O7,85.0
606,Ho1Ba2Cu2.925Fe0.075O7,88.0
607,Ho1Ba2Cu2.925Ni0.075O7,90.0
608,Ho1Ba2Cu2.94O6.94,77.0
609,Ho1Ba2Cu3O6.71,92.9
610,Ho1Ba2Cu3O6.87,92.3
611,Ho1Ba2Cu3O6.9,91.5
612,Ho1Ba2Cu3O6.96,91.8
613,Ho1Ba2Cu3O7,91.97777777777779
614,In0.2Pb0.55Sr2Ca0.5Y0.5Cu2.25O7,60.0
615,La0.25Dy0.75Ba1Ca1Cu3O7,59.0
616,La0.25Sm0.75Ba1Ca1Cu3O7,65.0
617,La0.2Pr0.3Ca0.5Ba2Cu3O7,100.0
618,La0.4Pr0.4Ba1Ca1Cu3O7,14.0
619,La0.55Ca0.15Pr0.3Ba1.5Sr0.5Cu3O6.851,27.0
620,La0.5Ca0.2Pr0.3Ba1.5Sr0.5Cu3O6.829,34.0
621,La0.5Dy0.5Ba1Ca1Cu3O7,55.0
622,La0.5Pr0.5Ba2Cu3O7,51.7
623,La0.5Sm0.5Ba1Ca1Cu3O7,66.0
624,La0.65Ca0.05Pr0.3Ba1.5Sr0.5Cu3O6.896,14.0
625,La0.65Ca0.15Pr0.2Ba1.5Sr0.5Cu3O6.84,45.0
626,La0.6Ca0.1Pr0.3Ba1.5Sr0.5Cu3O6.872,26.0
627,La0.6Ca0.2Pr0.2Ba1.5Sr0.5Cu3O6.809,47.0
628,La0.6Pr0.4Ba2Cu3O7,54.8
629,La0.6Pr0.6Ba1Ca1Cu3O7,28.0
630,La0.75Ca0.05Pr0.2Ba1.5Sr0.5Cu3O6.886,33.0
631,La0.75Ca0.15Pr0.1Ba1.5Sr0.5Cu3O6.845,62.0
632,La0.75Dy0.25Ba1Ca1Cu3O7,56.0
633,La0.75Nd0.25Ba1Ca1Cu3O7,55.0
634,La0.75Sm0.25Ba1Ca1Cu3O7,71.0
635,La0.7Ca0.1Pr0.2Ba1.5Sr0.5Cu3O6.862,40.0
636,La0.7Ca0.2Pr0.1Ba1.5Sr0.5Cu3O6.809,63.0
637,La0.7Pr0.3Ba2Cu3O7,57.1
638,La0.7Pr0.3Ca1Ba1Cu3O7,40.0
639,La0.85Ca0.05Pr0.1Ba1.5Sr0.5Cu3O6.865,50.0
640,La0.85Ca0.15Ba1.5Sr0.5Cu3O6.819,71.0
641,La0.8Ca0.1Pr0.1Ba1.5Sr0.5Cu3O6.856,56.0
642,La0.8Ca0.2Ba1.5Sr0.5Cu3O6.794,73.0
643,La0.8Pr0.2Ba1.5Sr0.5Cu3O6.906,24.0
644,La0.8Pr0.2Ba1Ca1Cu3O7,52.0
645,La0.8Pr0.2Ba2Cu3O7,40.15
646,La0.95Ca0.05Ba1.5Sr0.5Cu3O6.878,66.0
647,La0.9Ba1.5Ca0.6Cu3O6.74,73.0
648,La0.9Ca0.1Ba1.5Sr0.5Cu3O6.847,68.0
649,La0.9Pr0.1Ba1.5Sr0.5Cu3O6.904,44.0
650,La0.9Pr0.1Ba2Cu3O7,68.3
651,La1.05Ba1.5Ca0.45Cu3O6.81,74.0
652,La1.1Ba1.4Sr0.5Cu3O6.954,50.1
653,La1.1Ba1.5Ca0.4Cu3O6.76,34.0
654,La1.1Ba1.5Ca0.4Cu3O6.82,72.0
655,La1.1Ba1.5Ca0.4Cu3O6.97,70.0
656,La1.1Ba1.5Ca0.4Cu3O7.06,79.0
657,La1.1Ba1.5Ca0.4Cu3O7.11,77.0
658,La1.1Ba1.5Ca0.4Cu3O7.123,76.0
659,La1.1Ba1.5Ca0.4Cu3O7.17,70.0
660,La1.1Ba1.5Ca0.4Cu3O7.25,35.0
661,La1.25Ba1.35Ca0.4Cu3O7.16,79.8
662,La1.25Ba1.45Ca0.3Cu3O7.15,75.2
663,La1.25Ba1.55Ca0.2Cu3O7.16,68.5
664,La1.25Ba1.5Ca0.25Cu3O6.74,70.0
665,La1.25Ba1.65Ca0.1Cu3O7.15,57.3
666,La1.25Ba1.75Cu3O7.07,40.0
667,La1.25Ca0.05Ba1.7Cu3O7.03,38.6
668,La1.25Ca0.15Ba1.6Cu3O7.052,45.6
669,La1.25Ca0.1Ba1.65Cu3O7.06,38.8
670,La1.25Ca0.25Ba1.5Cu3O7.087,62.9
671,La1.25Ca0.2Ba1.55Cu3O7.082,50.2
672,La1.25Ca0.35Ba1.4Cu3O7.108,74.3
673,La1.25Ca0.3Ba1.45Cu3O7.11,67.1
674,La1.25Ca0.45Ba1.3Cu3O7.135,79.2
675,La1.25Ca0.4Ba1.35Cu3O7.141,77.8
676,La1.25Ca0.5Ba1.25Cu3O7.137,79.2
677,La1.2Ba1.3Sr0.5Cu3O6.943,45.1
678,La1.2Ba1.5Ca0.3Cu3O6.72,27.0
679,La1.2Ba1.5Ca0.3Cu3O6.93,60.0
680,La1.2Ba1.5Ca0.3Cu3O7.06,75.2
681,La1.2Ba1.8Cu3O6.98,80.0
682,La1.2Ba1.8Cu3O7.2,27.0
683,La1.2Ba1.8Cu3O7.3,27.0
684,La1.35Ba1.5Ca0.15Cu3O6.67,43.0
685,La1.3Ba1.2Sr0.5Cu3O6.955,38.0
686,La1.3Ba1.3Sr0.4Cu3O6.928,45.2
687,La1.3Ba1.4Sr0.3Cu3O6.91,50.0
688,La1.3Ba1.5Ca0.2Cu3O6.7,20.0
689,La1.3Ba1.5Ca0.2Cu3O6.72,48.0
690,La1.3Ba1.5Ca0.2Cu3O6.92,45.0
691,La1.3Ba1.5Ca0.2Cu3O6.94,52.0
692,La1.3Ba1.5Sr0.2Cu3O6.901,43.8
693,La1.4Ba1.5Ca0.1Cu3O6.903,25.0
694,La1.4Ba1.5Ca0.1Cu3O6.943,40.0
695,La1.4Ba1.5Ca0.1Cu3O6.982,51.0
696,La1.5Ba1.1Ca0.4Cu3O6.764,25.0
697,La1.5Ba1.1Ca0.4Cu3O6.969,40.0
698,La1.5Ba1.1Ca0.4Cu3O7.05,55.0
699,La1.5Ba1.1Ca0.4Cu3O7.082,62.0
700,La1.5Ba1.3Ca0.2Cu3O6.897,16.0
701,La1.5Ba1.3Ca0.2Cu3O6.918,25.0
702,La1.5Ba1.3Ca0.2Cu3O6.957,35.0
703,La1.5Ba1.3Ca0.2Cu3O7.002,16.0
704,La1.5Ba1.4Ca0.1Cu3O6.912,13.5
705,La1.5Ba1.4Ca0.1Cu3O6.932,25.0
706,La1.5Ba1.4Ca0.1Cu3O6.964,35.0
707,La1.5Ba1Ca0.5Cu3O6.801,30.0
708,La1.5Ba1Ca0.5Cu3O6.981,50.0
709,La1.5Ba1Ca0.5Cu3O7.126,67.0
710,La1.5Ba1Ca0.5Cu3O7.195,74.0
711,La1.5Ba1Sr0.5Cu3O6.955,26.9
712,La1.65Ba1.5Ca0.35Cu3O6.79,72.0
713,La1Ba0.8Ca1.2Cu3O7.11,60.0
714,La1Ba0.9Ca1.1Cu3O7.05,71.0
715,La1Ba1.1Ca0.9Cu3O7.02,75.0
716,La1Ba1.25Ca0.75Cu3O6.958,79.9
717,La1Ba1.25Sr0.75Cu3O6.996,54.1
718,La1Ba1.2Ca0.8Cu3O6.95,74.0
719,La1Ba1.3Ca0.7Cu3O6.92,73.0
720,La1Ba1.4Ca0.6Cu3O6.9,74.0
721,La1Ba1.5Ca0.5Cu3O6.79,40.0
722,La1Ba1.5Ca0.5Cu3O6.85,76.0
723,La1Ba1.5Ca0.5Cu3O6.96,79.9
724,La1Ba1.5Ca0.5Cu3O7.011,78.0
725,La1Ba1.5Ca0.5Cu3O7.079,76.0
726,La1Ba1.5Ca0.5Cu3O7.112,72.0
727,La1Ba1.5Ca0.5Cu3O7.16,56.0
728,La1Ba1.5Sr0.5Cu3O6.902,54.0
729,La1Ba1.5Sr0.5Cu3O6.948,57.1
730,La1Ba1.5Sr0.5Cu3O6.967,65.2
731,La1Ba1.5Sr0.5Cu3O7,52.4
732,La1Ba1.75Ca0.25Cu3O6.951,80.0
733,La1Ba1.75Sr0.25Cu3O6.946,72.5
734,La1Ba1.87Ca0.13Cu3O6.923,82.0
735,La1Ba1Ca1Cu2.6Ni0.4O6.854,24.0
736,La1Ba1Ca1Cu2.7Ni0.3O6.848,28.0
737,La1Ba1Ca1Cu2.8Ni0.2O6.837,30.0
738,La1Ba1Ca1Cu2.9Ni0.1O6.85,45.0
739,La1Ba1Ca1Cu2.9P0.1O7.4,20.0
740,La1Ba1Ca1Cu3O6.856,66.0
741,La1Ba1Ca1Cu3O6.98,76.35
742,La1Ba1Ca1Cu3O6.99,75.0
743,La1Ba1Ca1Cu3O7,63.0
744,La1Ba1Sr1Cu3O6.94,57.0
745,La1Ba1Sr1Cu3O7.01,41.5
746,La1Ba2Cu2.95Co0.05O6.94,40.5
747,La1Ba2Cu2.9O6.8,45.0
748,La1Ba2Cu2.9O6.82,45.0
749,La1Ba2Cu3O6.85,93.0
750,La1Ba2Cu3O6.89,76.0
751,La1Ba2Cu3O6.95,74.0
752,La1Ba2Cu3O7,91.53333333333335
753,La1Ca1Ba1Cu2.7Zn0.3O7,20.0
754,La1Ca1Ba1Cu2.8Zn0.2O7,30.0
755,La1Ca1Ba1Cu2.95Zn0.05O7,55.0
756,La1Ca1Ba1Cu2.9Zn0.1O7,37.0
757,Lu0.45Pr0.55Ba2Cu3O7,13.0
758,Lu0.55Pr0.45Ba1.7Sr0.3Cu3O6.92,35.0
759,Lu0.55Pr0.45Ba2Cu3O7,24.0
760,Lu0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,77.0
761,Lu0.5Pr0.4Ca0.1Ba2Cu3O7,57.0
762,Lu0.5Pr0.5Ba1.7Sr0.3Cu3O6.92,20.0
763,Lu0.5Pr0.5Ba2Cu3O6.75,40.1
764,Lu0.5Pr0.5Ba2Cu3O7,33.0
765,Lu0.65Pr0.35Ba1.7Sr0.3Cu3O6.93,52.0
766,Lu0.6Pr0.3Ca0.1Ba2Cu3O7,67.25
767,Lu0.6Pr0.4Ba1.7Sr0.3Cu3O6.91,47.0
768,Lu0.6Pr0.4Ba2Cu3O7,54.03333333333333
769,Lu0.75Ce0.15Ca0.1Ba2Cu3O7,69.5
770,Lu0.75Pr0.25Ba1.7Sr0.3Cu3O6.9,66.0
771,Lu0.7Ca0.3Ba2Cu3O6.62,80.0
772,Lu0.7Ca0.3Ba2Cu3O6.78,54.0
773,Lu0.7Ca0.3Ba2Cu3O6.88,45.0
774,Lu0.7Ce0.15Ca0.15Ba2Cu3O7,62.0
775,Lu0.7Pr0.2Ca0.1Ba2Cu3O7,75.0
776,Lu0.7Pr0.3Ba1.7Sr0.3Cu3O6.89,61.0
777,Lu0.7Pr0.3Ba2Cu3O7,71.5
778,Lu0.85Pr0.15Ba1.7Sr0.3Cu3O6.91,77.0
779,Lu0.85Pr0.15Ba2Cu3O7,86.1
780,Lu0.8Ca0.2Ba2Cu3O6.54,65.0
781,Lu0.8Ca0.2Ba2Cu3O6.68,78.0
782,Lu0.8Ca0.2Ba2Cu3O6.81,52.0
783,Lu0.8Ca0.2Ba2Cu3O6.91,48.0
784,Lu0.8Ce0.15Ca0.05Ba2Cu3O7,63.0
785,Lu0.8Ce0.1Ca0.1Ba2Cu3O7,73.5
786,Lu0.8Pr0.1Ca0.1Ba2Cu3O7,78.0
787,Lu0.8Pr0.2Ba1.7Sr0.3Cu3O6.93,75.0
788,Lu0.8Pr0.2Ba2Cu3O7,80.25
789,Lu0.93Pr0.07Ba2Cu3O7,81.5
790,Lu0.9Ce0.05Ca0.05Ba2Cu3O7,81.0
791,Lu0.9Ce0.1Ba2Cu3O7,60.0
792,Lu0.9Pr0.05Ca0.05Ba2Cu3O7,82.0
793,Lu0.9Pr0.1Ba1.7Sr0.3Cu3O6.95,79.0
794,Lu0.9Pr0.1Ba2Cu3O7,84.5
795,Lu1Ba1.7Sr0.3Cu3O7,79.0
796,Lu1Ba1Sr1Cu3O6.94,54.0
797,Lu1Ba2Cu3O7,88.155
798,Mo0.25Sr2Y1Cu2.75O7,87.53333333333335
799,Mo1Sr2Y1Cu2O7,25.0
800,Nb1Ba2Cu2.92Ga0.08O7,52.4
801,Nb1Ba2Cu2.93Ga0.07O7,52.0
802,Nb1Ba2Cu2.94Ga0.06O7,56.2
803,Nb1Ba2Cu2.95Ga0.05O7,60.0
804,Nb1Ba2Cu2.96Ga0.04O7,60.6
805,Nb1Ba2Cu2.98Ga0.02O7,80.2
806,Nb1Ba2Cu2.9Ga0.1O7,42.6
807,Nd0.2Pr0.3Ca0.5Ba2Cu3O7,100.0
808,Nd0.5Ca0.5Sr0.7Ba1.3Cu2.6C0.4O7,74.0
809,Nd0.65Pr0.35Ba1Ca1Cu3O7,10.0
810,Nd0.75Pr0.25Ba1Ca1Cu3O7,26.0
811,Nd0.75Pr0.25Ba2Cu3O6.85,9.2
812,Nd0.75Pr0.25Ba2Cu3O6.96,11.7
813,Nd0.7Pr0.3Ba1.15Sr0.85Cu3O7,38.0
814,Nd0.7Pr0.3Ba1.25Sr0.75Cu3O7,34.0
815,Nd0.7Pr0.3Ba1Sr1Cu3O6.87,34.0
816,Nd0.7Pr0.3Ba1Sr1Cu3O7,44.0
817,Nd0.7Pr0.3Ba2Cu3O7,5.6
818,Nd0.85La0.15Ba2Cu3O7,89.21
819,Nd0.85Pr0.15Ba2Cu3O6.75,21.6
820,Nd0.85Pr0.15Ba2Cu3O6.85,41.3
821,Nd0.85Pr0.15Ba2Cu3O7,50.2
822,Nd0.8Ca0.1Pr0.1Ba2Cu3O7,70.8
823,Nd0.8Ca0.1Pr0.1Ba2Cu3O7.02,70.8
824,Nd0.8Ca0.2Ba1Sr1Cu3O6.78,77.0
825,Nd0.8Pr0.2Ba2Cu3O6.75,9.8
826,Nd0.8Pr0.2Ba2Cu3O6.81,50.0
827,Nd0.8Pr0.2Ba2Cu3O6.85,30.2
828,Nd0.8Pr0.2Ba2Cu3O7,36.775
829,Nd0.92Pr0.08Ba2Cu3O7,68.2
830,Nd0.94Ca0.06Ba2Cu3O7,88.0
831,Nd0.95Ca0.025Pr0.025Ba2Cu3O6.95,86.1
832,Nd0.95Ca0.025Pr0.025Ba2Cu3O7,86.1
833,Nd0.95La0.05Ba2Cu3O7,91.78
834,Nd0.95Pr0.05Ba2Cu3O6.6,4.1
835,Nd0.95Pr0.05Ba2Cu3O6.65,26.7
836,Nd0.95Pr0.05Ba2Cu3O6.75,45.8
